ChargeStartDateTime;Model;Country;SiteLocationName;Description;QuantityBase;QuantityTier1;QuantityTier2;QuantityTier3;QuantityTier4;InvoiceNumber;UnitCostBase;UnitCostTier1;UnitCostTier2;UnitCostTier3;UnitCostTier4;VAT;Total Exc. VAT;Total Inc. VAT;Status;Invoice
2022-10-21T08:45:10+02:00;ms;PL;Krakow, Poland;CHARGING : NO_CHARGE;34.00 kwh;N/A;N/A;N/A;N/A;;2.60/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-10-04T16:04:27+02:00;ms;PL;Krakow, Poland;CHARGING : NO_CHARGE;24.00 kwh;N/A;N/A;N/A;N/A;;2.65/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-10-04T15:52:52+02:00;ms;PL;Krakow, Poland;CHARGING : NO_CHARGE;9.00 kwh;N/A;N/A;N/A;N/A;;2.65/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-10-01T13:55:09+02:00;ms;PL;Krakow, Poland;CHARGING : NO_CHARGE;31.00 kwh;N/A;N/A;N/A;N/A;;2.65/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-09-27T14:49:04+02:00;ms;PL;Krakow, Poland;CHARGING : NO_CHARGE;41.00 kwh;N/A;N/A;N/A;N/A;;2.65/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-09-24T19:56:39+02:00;ms;PL;Krakow, Poland;CHARGING : NO_CHARGE;41.00 kwh;N/A;N/A;N/A;N/A;;2.65/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-09-23T13:59:06+02:00;ms;PL;Krakow, Poland;CHARGING : NO_CHARGE;30.00 kwh;N/A;N/A;N/A;N/A;;2.65/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-09-19T10:54:58+02:00;ms;PL;Krakow, Poland;CHARGING : NO_CHARGE;37.00 kwh;N/A;N/A;N/A;N/A;;2.65/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-09-11T19:32:52+02:00;ms;PL;Radom, Poland;CHARGING : NO_CHARGE;58.00 kwh;N/A;N/A;N/A;N/A;;2.20/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-09-11T10:10:06+02:00;ms;PL;Warsaw, Poland;CHARGING : NO_CHARGE;63.00 kwh;N/A;N/A;N/A;N/A;;2.20/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-09-10T10:34:03+02:00;ms;PL;Radom, Poland;CHARGING : NO_CHARGE;58.00 kwh;N/A;N/A;N/A;N/A;;2.20/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-09-03T13:41:13+02:00;ms;PL;Krakow, Poland;CHARGING : NO_CHARGE;39.00 kwh;N/A;N/A;N/A;N/A;;2.20/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-08-19T12:03:00+02:00;ms;PL;Krakow, Poland;CHARGING : NO_CHARGE;33.00 kwh;N/A;N/A;N/A;N/A;;2.00/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-08-13T16:10:11+02:00;ms;PL;Katowice, Poland;CHARGING : NO_CHARGE;29.00 kwh;N/A;N/A;N/A;N/A;;2.00/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-08-13T13:05:45+02:00;ms;CZ;Olomouc, Czech Republic;CHARGING : NO_CHARGE;46.00 kwh;N/A;N/A;N/A;N/A;;13.80/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-08-13T10:53:52+02:00;ms;AT;Poysdorf, Austria;CHARGING : NO_CHARGE;32.00 kwh;N/A;N/A;N/A;N/A;;0.58/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-08-13T09:19:23+02:00;ms;AT;Wiener Neustadt, Austria;CHARGING : NO_CHARGE;25.00 kwh;N/A;N/A;N/A;N/A;;0.58/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
